|joey|rachel|monica|phoebe|chandler|ross|other
read|22|24|13|16|13|14|26
puzzles|2|0|1|0|0|0|2
shoot|8|10|4|5|2|5|9
stars|6|2|2|1|3|3|5
museum|7|5|3|4|1|19|9
papers|0|0|1|0|1|4|4
published|1|0|1|0|0|3|1
satisfied|1|1|0|0|0|1|3
telling|20|36|22|17|22|30|27
cancer|1|0|0|1|1|0|2
our|99|80|124|56|143|90|118
harmonica|0|0|1|0|0|0|2
stories|1|3|2|1|6|1|6
news|8|14|15|14|11|15|19
anecdotes|0|0|1|0|0|0|0
share|8|8|3|6|7|4|9
folks|6|0|1|1|0|0|5
between|17|13|7|12|10|20|23
deal|42|41|31|16|33|37|23
named|5|4|2|4|4|9|6
child|1|10|5|8|13|13|17
raise|3|8|7|2|7|6|6
bad|59|36|63|57|64|46|76
pros|0|0|0|0|2|1|1
their|46|20|30|36|28|27|29
change|7|12|24|21|15|17|23
yours|14|12|14|13|16|11|19
must|14|18|15|24|32|18|52
pee|16|9|8|2|4|8|7
worse|7|12|10|17|16|10|6
twins|3|3|5|2|5|2|9
speak|5|3|1|11|3|8|15
powered|0|0|0|1|0|0|0
driven|0|0|0|2|0|0|0
career|8|4|1|3|6|6|6
type|4|3|0|2|1|7|5
waitress|4|4|2|9|3|4|9
imaginary|0|1|0|1|2|2|0
friend|66|43|41|50|46|71|59
preferred|0|0|0|0|1|0|0
lights|0|4|9|4|8|7|9
dya|1|0|0|0|1|2|0
nervous|13|10|3|10|5|6|5
hmm|14|28|26|25|10|40|21
recently|1|1|2|2|0|1|1
dumped|4|5|1|3|1|5|8
may|24|9|25|20|43|28|66
steer|0|0|1|1|0|1|0
clear|16|5|7|5|2|8|14
chances|1|1|2|2|3|3|2
broken|5|2|7|8|3|12|6
shell|1|0|1|0|1|1|0
terrific|2|4|2|0|4|2|6
ob|0|1|0|1|0|1|0
gyn|0|0|0|1|0|1|0
complicated|4|4|3|4|2|4|4
meet|27|34|26|34|22|33|65
somone|0|1|1|0|0|0|0
fall|14|8|10|6|10|2|7
either|20|16|22|17|20|20|23
late|17|32|16|21|18|30|28
stuck|15|7|2|3|14|10|5
dinosaur|1|4|3|6|5|7|4
forget|32|26|22|24|31|24|27
shake|1|5|2|0|3|5|1
dr|25|17|14|5|7|20|55
oberman|0|0|0|0|0|2|1
special|12|8|14|14|9|15|11
situation|7|6|2|4|10|8|3
supportive|3|3|4|2|1|5|4
quack|10|0|0|0|2|2|4
opens|1|2|1|1|1|0|2
cervix|0|0|0|0|0|0|3
robbies|0|0|0|0|0|0|1
doin|27|6|2|3|8|4|9
farber|0|0|0|0|0|0|7
jason|0|1|2|7|0|1|2
greensteins|0|0|0|0|0|0|1
gagging|0|0|0|0|1|0|1
sec|0|4|4|8|3|12|8
decisions|1|8|3|2|1|1|1
instance|1|0|1|0|0|1|5
babys|2|2|3|0|1|3|4
marlon|0|0|0|0|0|1|1
minnie|0|0|0|0|0|1|2
mouse|0|0|1|2|0|3|3
grandmother|2|11|3|12|7|5|5
julia|0|0|0|0|0|1|1
agreed|1|3|5|0|4|5|2
sfunny|0|0|0|0|0|2|0
spend|3|4|15|5|21|9|13
rest|10|15|13|14|22|13|17
lives|31|10|10|12|11|14|18
punches|0|1|0|0|0|2|0
julias|0|0|0|0|0|1|0
tanned|0|1|0|0|0|1|0
hurt|7|16|11|13|12|23|19
mindy|1|18|2|1|1|0|8
maid|3|12|7|4|2|2|3
honour|0|1|0|0|0|0|2
plugs|0|1|1|2|0|0|0
careful|7|7|10|4|6|4|3
quite|3|2|2|4|8|9|19
taken|5|1|5|3|7|6|8
lenses|1|1|0|0|0|0|1
sticking|3|3|1|2|0|0|1
finger|1|1|6|2|4|5|9
eye|8|13|15|9|7|5|12
wanted|41|71|48|51|48|57|73
month|9|8|9|9|7|9|7
ago|14|24|15|16|19|28|32
orthodontist|0|3|0|0|0|0|1
belongs|1|3|1|1|1|1|1
giving|12|14|13|12|18|11|20
helen|0|0|0|0|3|3|6
geller|6|13|19|10|4|29|54
willick|0|0|0|0|0|4|2
talked|18|10|12|9|17|19|14
minute|40|75|65|23|42|47|47
title|1|0|1|2|0|1|0
sperm|3|1|4|1|10|2|3
challenge|2|0|0|2|1|2|2
gets|18|24|32|29|17|28|15
suggesting|0|0|0|0|2|1|1
borders|0|0|0|0|0|0|1
nonononono|0|0|0|0|0|0|1
knows|18|20|19|12|21|20|20
ones|8|12|14|10|15|8|9
names|5|7|5|12|4|5|10
wind|3|5|2|7|4|3|1
calling|5|10|11|8|11|15|14
ways|4|1|4|3|5|2|3
imagined|0|0|0|2|0|2|1
knock|4|6|1|12|12|5|4
nausea|0|0|0|1|0|0|1
sharing|4|2|0|0|1|0|3
lie|11|14|7|14|12|8|5
particular|1|0|0|1|0|3|1
seeing|16|8|14|15|15|20|34
dunno|6|3|1|7|5|5|4
attack|0|3|3|4|5|6|3
enterprise|0|0|0|0|1|0|0
tilt|0|0|1|1|0|0|2
eyes|19|5|9|20|16|11|20
old|30|41|37|43|51|38|42
whaddya|3|2|1|0|7|3|3
welling|0|0|0|0|0|2|0
aunt|1|7|16|7|2|15|7
saw|42|39|25|14|30|29|39
mind|24|24|13|13|14|41|33
works|4|12|10|11|7|4|9
hairline|0|1|0|0|0|0|1
nose|3|5|6|6|1|5|7
cheap|1|1|0|1|0|3|3
shot|11|6|6|10|8|14|18
subway|2|3|4|2|5|4|4
loosely|0|0|1|0|0|0|0
translated|0|0|1|0|0|0|1
means|27|26|15|23|22|25|18
dating|4|15|5|9|8|20|19
language|2|0|0|4|0|0|1
leather|3|1|1|2|6|4|1
alcoholics|0|0|0|0|1|0|0
complaining|0|1|1|3|2|0|0
cushions|2|0|0|1|3|0|0
blow|9|4|5|3|3|5|5
dog|21|16|16|25|19|17|12
farm|1|1|0|3|2|3|1
funny|30|46|40|25|65|54|49
send|3|8|6|11|9|11|7
millners|0|0|0|0|0|2|0
connecticut|2|1|1|1|2|1|1
unbelievable|6|10|6|5|4|13|12
horses|1|0|0|0|0|1|1
chase|1|3|1|2|1|2|2
chi|0|2|4|0|0|11|1
knowing|5|2|3|4|3|5|7
die|15|8|7|14|22|14|9
warden|1|0|0|1|0|0|0
minutes|14|15|26|14|15|32|30
knowledge|2|0|1|0|1|1|1
sent|9|7|9|8|6|15|3
honest|6|3|4|4|1|3|10
from|130|155|103|120|114|132|176
damone|0|0|0|0|2|0|0
cell|2|5|2|3|1|0|4
smoke|3|4|11|5|18|0|14
smokes|1|0|0|0|2|0|0
hand|37|27|24|21|30|15|31
whoah|5|1|0|2|3|1|0
puff|0|0|1|0|1|0|1
cigarette|1|0|3|3|3|0|3
missing|5|5|1|8|1|6|2
holding|2|5|3|9|7|7|6
complete|1|2|0|0|1|7|1
ymiss|1|0|0|0|0|0|0
nah|9|5|5|4|6|9|1
same|39|26|26|24|29|27|27
distance|3|1|3|1|1|1|1
tip|4|3|5|1|6|7|4
thumb|2|1|1|1|0|4|2
index|0|0|1|0|0|0|0
ridiculous|4|14|1|2|8|9|3
use|27|33|29|25|24|27|32
decaf|1|2|1|1|1|0|1
cappucino|0|2|0|0|1|1|0
black|2|9|4|13|7|5|1
iced|2|3|0|0|0|0|0
tea|5|8|6|9|4|1|5
yokay|1|0|0|0|0|0|0
worked|12|9|9|11|9|11|9
bank|3|2|5|4|5|3|3
mail|10|4|4|2|4|3|3
open|25|24|20|22|24|23|24
monthly|0|0|0|1|0|0|0
statement|1|0|0|1|2|0|0
hundred|15|9|9|6|14|9|15
extra|15|12|5|7|6|13|6
account|0|1|1|2|3|2|2
satans|0|0|0|0|1|0|0
minions|0|0|0|0|1|0|0
earn|0|1|1|1|1|1|0
kept|2|13|4|7|8|12|9
stealing|0|7|3|3|4|4|3
shopping|3|9|6|9|2|3|9
pair|5|2|1|2|1|6|0
shoes|7|7|9|10|10|9|14
took|20|30|23|30|24|37|25
skipping|0|0|0|1|0|0|0
enjoy|7|7|7|7|13|6|8
giant|7|3|3|5|6|2|3
karmic|0|0|0|1|0|0|0
debt|0|0|0|1|0|0|0
smoking|1|7|6|2|12|1|6
three|39|34|46|44|42|46|77
reward|1|0|0|0|1|0|0
hold|33|21|22|17|23|32|22
second|37|33|35|26|33|35|34
quit|9|19|4|12|12|4|16
putting|6|2|7|6|10|9|7
drink|16|15|9|8|9|9|26
